,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,hobart,AU,40,12/04/2019,50,-42.88,147.33,53.6,19.46
1,bulgan,MN,0,12/04/2019,66,48.81,103.53,4.32,2.73
2,hervey bay,AU,75,12/04/2019,94,-25.3,152.85,70,2.24
3,alihe,CN,32,12/04/2019,91,50.57,123.73,-19.48,4.97
4,darhan,MN,0,12/04/2019,81,49.49,105.92,0.28,4.74
5,mount gambier,AU,90,12/04/2019,81,-37.83,140.78,53.6,11.41
6,horsham,AU,8,12/04/2019,97,-36.71,142.2,47.89,4.99
7,smithers,CA,90,12/04/2019,100,54.78,-127.17,21.2,4.7
8,moose factory,CA,90,12/04/2019,85,51.26,-80.61,19.4,8.05
9,mount isa,AU,34,12/04/2019,14,-20.73,139.49,75.2,10.29
10,ferkessedougou,CI,49,12/04/2019,18,9.6,-5.2,84.52,1.32
11,makubetsu,JP,2,12/04/2019,64,42.84,143.34,18.84,11.23
12,kurilsk,RU,99,12/04/2019,86,45.23,147.88,24.89,32.86
13,coquimbo,CL,1,12/04/2019,67,-29.95,-71.34,78.01,9.17
14,hilo,US,90,12/04/2019,83,19.71,-155.08,70,2.89
15,pacific grove,US,90,12/04/2019,87,36.62,-121.92,55.99,2.17
16,kalmunai,LK,80,12/04/2019,80,7.42,81.82,82.31,22.17
17,yelan,RU,100,12/04/2019,89,50.95,43.74,23.18,13.02
18,genhe,CN,6,12/04/2019,96,50.78,121.52,-23.39,3.49
19,road town,VG,40,12/04/2019,74,18.42,-64.62,87.8,9.17
20,kahului,US,20,12/04/2019,78,20.89,-156.47,73.99,4.7
21,kavieng,PG,1,12/04/2019,68,-2.57,150.8,83.39,3.36
22,porto novo,CV,40,12/04/2019,57,17.02,-25.06,78.8,26.4
23,ponta do sol,CV,40,12/04/2019,57,17.2,-25.09,78.8,26.4
24,caernarfon,GB,100,12/04/2019,93,53.14,-4.27,51.01,12.75
25,lompoc,US,40,12/04/2019,87,34.64,-120.46,60.8,9.17
26,biak,ID,100,12/04/2019,75,-0.91,122.88,81.81,2.35
27,kailua,US,75,12/04/2019,73,21.39,-157.74,77,10.29
28,pangnirtung,CA,20,12/04/2019,76,66.15,-65.72,-5.8,2.24
29,ulaangom,MN,100,12/04/2019,91,49.98,92.07,2.77,3.6
30,palora,EC,75,12/04/2019,61,-1.7,-77.97,77,9.17
31,cidreira,BR,11,12/04/2019,84,-30.17,-50.22,72.05,13.24
32,kiunga,PG,39,12/04/2019,99,-6.12,141.3,71.73,1.57
33,kapaa,US,90,12/04/2019,94,22.08,-159.32,73.4,11.41
34,zabol,IR,0,12/04/2019,43,31.03,61.49,51.8,6.93
35,mapiripan,CO,25,12/04/2019,74,2.89,-72.13,85.55,6.51
36,sao joao da barra,BR,90,12/04/2019,73,-21.64,-41.05,77,20.8
37,caravelas,BR,100,12/04/2019,98,-17.73,-39.27,72.34,7.76
38,beringovskiy,RU,100,12/04/2019,85,63.05,179.32,27.18,35.57
39,sao filipe,CV,100,12/04/2019,76,14.9,-24.5,72.81,20.18
40,okato,NZ,0,12/04/2019,93,-39.19,173.88,62.01,8.99
41,erie,US,90,12/04/2019,95,42.13,-80.09,35.6,6.93
42,hirara,JP,100,12/04/2019,84,24.8,125.28,68.05,26.35
43,faro,PT,100,12/04/2019,76,37.02,-7.94,54,8.05
44,verkhnyaya toyma,RU,95,12/04/2019,96,62.24,45,20.34,3.02
45,cabo san lucas,MX,5,12/04/2019,69,22.89,-109.91,78.01,4.7
46,springdale,CA,100,12/04/2019,87,49.5,-56.06,42.01,5.99
47,new norfolk,AU,40,12/04/2019,50,-42.78,147.06,53.6,19.46
48,zhirnovsk,RU,100,12/04/2019,92,50.98,44.78,22.78,15.03
49,karlskrona,SE,90,12/04/2019,87,56.16,15.59,42.8,8.05
50,kununurra,AU,32,12/04/2019,69,-15.77,128.74,78.8,3.36
